crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
947	ref	False	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
948	cpx_het	True	40	1.0	True	2	1.0	2	0.9375	True	2	1.0	2
949	cpx_het	False	364	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
950	het	True	40	1.0	True	2	1.0	2	1.0	True	2	1.0	2
951	het	False	223	1.0	True	2	1.0	2	1.0	True	2	1.0	2
952	het	False	56	1.0	True	2	1.0	2	1.0	True	2	1.0	2
953	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
954	hom	False	63	1.0	True	2	1.0	1	1.0	True	1	1.0	1
955	hom	False	219	1.0	True	2	1.0	1	1.0	True	1	1.0	1
956	het	True	139	1.0	True	2	1.0	2	1.0	True	2	1.0	2
957	cpx_het	True	1238	1.0	True	2	1.0	2	1.0	True	2	1.0	2
961	cpx_het	True	313	1.0	True	2	1.0	2	1.0	True	2	1.0	2
962	cpx_het	True	191	1.0	True	2	1.0	2	1.0	True	2	1.0	2
963	hom	True	103	1.0	True	2	1.0	1	1.0	True	1	1.0	1
964	cpx_het	True	168	1.0	True	2	1.0	2	1.0	True	2	1.0	2
966	cpx_het	True	3175	0.9444444444444444	True	2	1.0	2	0.8333333333333334	True	2	1.0	2
967	ref	False	0	1.0	True	1	0.9285714285714286	1	1.0	True	1	1.0	1
968	hom	True	32	1.0	True	2	1.0	1	1.0	True	1	1.0	1
969	hom	False	129	1.0	True	2	1.0	1	1.0	True	1	1.0	1
973	het	True	193	1.0	True	2	1.0	2	1.0	True	2	1.0	2
974	het	True	35	1.0	True	2	1.0	2	0.9565217391304348	True	2	1.0	2
975	het	True	47	1.0	True	2	1.0	2	1.0	True	2	1.0	2
976	cpx_het	True	44	1.0	True	2	1.0	2	0.5185185185185185	False	1	1.0	2
977	hom	False	305	1.0	True	2	1.0	1	1.0	True	1	1.0	1
978	het	False	24	1.0	True	2	1.0	2	0.5925925925925926	False	1	1.0	2
979	het	True	30	1.0	True	2	1.0	2	0.6	False	1	1.0	2
980	het	True	125	1.0	True	2	1.0	2	1.0	True	2	1.0	2
981	cpx_het	True	234	1.0	True	2	1.0	2	1.0	True	2	1.0	2
982	cpx_het	True	313	1.0	True	2	1.0	2	0.6923076923076923	False	2	1.0	2
983	het	False	310	1.0	True	2	1.0	2	1.0	True	2	1.0	2
984	het	True	123	1.0	True	2	1.0	2	1.0	True	2	1.0	2
985	cpx_het	True	511	1.0	True	2	1.0	2	1.0	True	2	1.0	2
986	het	True	36	1.0	True	2	1.0	2	0.8666666666666667	True	2	1.0	2
987	hom	True	65	1.0	True	2	1.0	1	1.0	True	1	1.0	1
988	cpx_het	True	176	1.0	True	2	1.0	2	1.0	True	2	1.0	2
990	hom	True	668	1.0	True	2	1.0	1	1.0	True	1	1.0	1
991	het	True	93	1.0	True	2	1.0	2	1.0	True	2	1.0	2
992	ref	True	0	1.0	True	2	0.7222222222222222	1	1.0	True	1	1.0	1
993	het	False	45	1.0	True	2	0.9285714285714286	2	1.0	True	2	1.0	2
995	hom	True	170	1.0	True	1	1.0	1	1.0	True	1	1.0	1
998	het	True	39	1.0	False	1	1.0	2	0.75	False	1	1.0	2
999	cpx_het	True	208	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1000	cpx_het	True	153	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1002	hom	True	955	1.0	True	1	0.7222222222222222	1	1.0	True	1	1.0	1
1003	het	True	197	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1004	cpx_het	True	84	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1005	hom	False	127	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1006	cpx_het	True	4189	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1007	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1008	het	True	50	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1009	cpx_het	True	139	1.0	True	2	1.0	2	0.5238095238095238	False	1	1.0	2
1010	het	True	36	1.0	True	2	1.0	2	0.9047619047619048	True	2	1.0	2
1012	cpx_het	True	69	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1013	hom	True	157	1.0	True	2	0.8333333333333334	1	1.0	True	1	1.0	1
1014	hom	True	108	1.0	True	2	0.8421052631578947	1	1.0	True	1	1.0	1
1015	hom	True	849	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1016	het	False	329	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1017	het	False	327	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
1018	het	True	35	1.0	True	2	1.0	2	0.7692307692307693	False	1	1.0	2
1019	het	False	32	1.0	True	2	1.0	2	0.625	False	1	1.0	2
1020	hom	True	40	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1021	het	True	428	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1022	het	True	68	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1023	het	True	48	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1024	het	True	30	1.0	True	2	1.0	2	0.9130434782608695	True	2	1.0	2
1025	het	True	238	1.0	True	2	1.0	2	0.96	True	2	1.0	2
1026	het	True	33	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1027	het	True	59	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1028	het	True	145	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1029	het	True	355	1.0	True	2	1.0	2	0.9230769230769231	True	2	1.0	2
1030	hom	True	555	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1031	het	False	128	1.0	True	2	1.0	2	1.0	True	2	1.0	2
